CPU no USED,Agents,vCPU,CPU USED,Time
61.2708333333,42,24,38.6458333333,47.444
61.7368421053,59,32,38.3157894737,37.83
2.5575757576,74,2,97.7696969697,164.408
63.593220339,32,18,36.2542372881,58.909
0.0050505051,100,1,99.9747474747,197.86
8.2426035503,84,4,91.798816568,168.854
61.8125,41,24,38.1875,47.39
21.2636363636,38,6,78.7272727273,109.871
7.9107142857,83,4,92.1071428571,168.046
2.2346368715,86,2,98.094972067,178.74
60.3095238095,48,28,39.5476190476,41.038
8.4379084967,69,4,91.614379085,152.416
9.7622377622,60,4,90.3076923077,142.263
58.606557377,33,18,41.2459016393,60.709
11.2164179104,52,4,88.8358208955,133.791
0.0378378378,87,1,99.9567567568,184.446
58.2307692308,58,32,41.6153846154,38.639
0.0053763441,88,1,99.9784946237,185.963
8.6797385621,68,4,91.4052287582,152.415
63.4473684211,57,32,36.5526315789,37.928
67,40,24,32.9166666667,48.027
17.6936936937,31,4,82.4414414414,110.951
0.0114942529,77,1,99.9885057471,174.003
60.9473684211,56,32,39,37.149
0.0052356021,92,1,99.9842931937,191.054
61.5454545455,49,28,38.4090909091,43.92
2.0555555556,85,2,98.2611111111,179.601
63.4047619048,47,28,36.6428571429,41.8
2.7085714286,80,2,97.5714285714,174.12
8.4339622642,73,4,91.6603773585,158.958
23.2710280374,33,6,76.8037383178,106.569
89.25,17,24,10.7083333333,23.177
8.9299363057,70,4,91.2165605096,156.094
21.2882882883,36,6,78.6666666667,110.396
89.8695652174,16,24,10.0434782609,22.196
2.8048780488,70,2,97.493902439,163.545
83.2962962963,20,24,16.7037037037,26.97
90.2272727273,15,24,9.9090909091,21.369
8.1383647799,72,4,91.9496855346,158.832
91.3333333333,4,24,8.4444444444,9.022
90.2857142857,14,24,9.4285714286,20.425
91.2857142857,8,24,8.7142857143,13.757
91.1666666667,11,24,8.6666666667,17.188
92.4444444444,3,24,7.2222222222,8.177
92.4166666667,6,24,7.75,11.588
61.6739130435,36,24,38.2608695652,45.499
90.65,13,24,9.4,19.54
90.8,9,24,9.3333333333,15.022
83.1290322581,23,24,16.9032258065,30.87
91.3529411765,10,24,8.6470588235,16.193
0.0052083333,91,1,99.96875,191.704
21.8288288288,35,6,78.2162162162,110.193
0.0049751244,99,1,99.9651741294,200.958
90.6315789474,12,24,9.3684210526,18.757
91.4545454545,5,24,8.5454545455,10.895
62.1875,37,24,37.6458333333,47.238
10.4680851064,55,4,89.524822695,140.595
91.7142857143,7,24,8.4285714286,13.469
2.4093264249,94,2,98.0207253886,192.12
60.4871794872,55,32,39.5641025641,38.757
82.7666666667,21,24,17.2,29.743
60.8367346939,38,24,39.1224489796,48.957
9.1854304636,63,4,90.8675496689,150.212
81.972972973,27,24,18.027027027,36.596
80.1025641026,29,24,19.6923076923,38.868
82.6388888889,26,24,17.2777777778,35.637
62.8863636364,46,28,36.9772727273,43.715
82.1764705882,24,24,17.7647058824,33.53
83,22,24,16.75,31.274
83.4642857143,19,24,16.5,27.92
82.3428571429,25,24,17.6285714286,34.721
93.5555555556,2,24,6.3333333333,8.798
80.3846153846,28,24,19.641025641,38.244
86.5555555556,18,24,13.3703703704,27.004
0.2598039216,100,1,99.7401960784,203.708
2.6764705882,73,2,97.7294117647,169.548
3.0054945055,84,2,97.2747252747,182.022
0.0327868852,81,1,99.9453551913,182.475
11.0503597122,52,4,89.0431654676,138.802
2.4736842105,90,2,97.8315789474,189.303
9.0205479452,58,4,91.0753424658,145.901
61.85,54,32,38.05,39.332
77.8333333333,30,24,22.0476190476,41.522
63.3076923077,53,32,36.6666666667,38.379
2.4764397906,91,2,97.8167539267,190.859
8.8397435897,66,4,91.2564102564,155.313
62.1111111111,45,28,37.7333333333,44.082
9.3774834437,62,4,90.6490066225,150.954
76.6279069767,31,24,23.3953488372,42.948
94.2,1,24,5.5,9.062
9.1917808219,57,4,90.897260274,145.586
9.1483870968,65,4,90.9419354839,154.886
7.8666666667,73,4,92.1878787879,164.147
64.8163265306,35,24,35,48.423
64.375,34,24,35.5416666667,47.415
0.0049261084,97,1,99.9852216749,202.568
9.1282051282,65,4,90.9294871795,155.472
9.0506329114,66,4,91.0063291139,157.055
9.932885906,58,4,90.1409395973,148.222
68.3863636364,43,28,31.5681818182,43.713
8.1916167665,74,4,91.880239521,166.366
2.1269035533,94,2,98.1319796954,196.279
9.3673469388,56,4,90.7006802721,146.124
67.7948717949,51,32,32.1538461538,38.33
8.0243902439,71,4,92.0426829268,163.269
64.8695652174,44,28,35.152173913,45.51
62.1818181818,42,28,37.7727272727,43.456
2.0886699507,99,2,98.2807881773,202.875
0.1797752809,73,1,99.8202247191,177.166
0.0052356021,85,1,99.9842931937,190.791
71.8085106383,32,24,28.2978723404,46.985
61.0487804878,52,32,38.8048780488,40.54
0.1459459459,79,1,99.8486486486,184.268
10.5281690141,51,4,89.5633802817,141.818
10.475862069,53,4,89.6137931034,144.202
69.8409090909,41,28,30.25,43.212
2.5444444444,78,2,97.8222222222,179.942
66.0512820513,50,32,34,38.892
8.6036585366,70,4,91.4695121951,163.888
8.8037974684,64,4,91.2341772152,157.22
1.1221374046,31,1,98.8854961832,130.896
7.7654320988,68,4,92.2839506173,161.773
2.164893617,84,2,98.1063829787,187.17
0.0052631579,83,1,99.9789473684,189.726
63.78,33,24,36.1,49.292
8.1925465839,67,4,91.8819875776,160.742
8.8950617284,67,4,91.1666666667,161.186
0.0053475936,80,1,99.9839572193,186.916
64.5681818182,40,28,35.25,43.547
2.4619883041,68,2,97.8362573099,170.107
2.1223404255,83,2,98.1861702128,187.209
1.9536082474,89,2,98.4175257732,194.042
2.7388888889,76,2,97.5944444444,179.516
